id,name
501012,Ilirska
603101,Ilovica
603102,Ilovica
626011,IŠKA VAS obr.
625051,Iška vas
625052,Iška vas
625061,Iška vas šola
625062,Iška vas šola
604011,Iški most
604012,Iški most
604061,Ižica
604062,Ižica
745061,JEZERO
104321,JEŽICA P+R
603011,Jadranska
603012,Jadranska
703031,Jamnikarjeva
703032,Jamnikarjeva
403011,Jana Husa
403012,Jana Husa
744021,Japelj
744022,Japelj
203091,Jarše
203092,Jarše
405011,Javor
405012,Javor
425011,Javor-2
425012,Javor-2
104181,Ježa
104182,Ježa
104031,Ježica
104032,Ježica
104033,Ježica
703201,Ježkova
703202,Ježkova
504041,Jurčkova
504042,Jurčkova
803181,KAMNA GORICA
300015,KOLODVOR
404051,KPL
404052,KPL
815031,KS. Pirniče
815032,KS. Pirniče
815111,Kajakaška
815112,Kajakaška
303022,Kajuhova
104021,Kališnikov trg
104022,Kališnikov trg
804391,Kamnogoriška
804392,Kamnogoriška
102091,Kardeljeva ploščad
102092,Kardeljeva ploščad
203051,Kavčičeva
203052,Kavčičeva
304161,Kašeljska
304162,Kašeljska
802021,Kino Šiška
802022,Kino Šiška
402031,Klinični center
402032,Klinični center
803081,Kneza Koclja
803082,Kneza Koclja
403021,Kodeljevo
403022,Kodeljevo
403023,Kodeljevo
203101,Kodrova
203102,Kodrova
300011,Kolodvor
300012,Kolodvor
104101,Kolodvor Črnuče
104102,Kolodvor Črnuče
715021,Komanija
715022,Komanija
803031,Kompas
803032,Kompas
505172,Kongo
601012,Konzorcij
603041,Koprska
603044,Koprska
803141,Koseze
803142,Koseze
826111,Koseze
826112,Koseze
826121,Koseze Stare
826122,Koseze Stare
804081,Kosmačeva
804082,Kosmačeva
625041,Kot
625042,Kot
803211,Kovinarska
803212,Kovinarska
704101,Kozarje
704102,Kozarje
714011,Kozarje GD
714012,Kozarje GD
203211,Kranjčeva
603031,Krimska
603032,Krimska
804411,Krivec
804412,Krivec
602061,Križanke
602062,Križanke
404081,Križišče Sostro
404082,Križišče Sostro
404083,Križišče Sostro
404084,Križišče Sostro
536022,Krpan
101034,Kržičeva
727011,Kurja vas/Šentjoštu
727012,Kurja vas/Šentjoštu
204051,LETALIŠKA
103201,LITOSTROJ
803052,LITOSTROJSKA
300013,LJUBLJANA AP
603111,Lahova pot
603112,Lahova pot
406071,Lanišče
406072,Lanišče
504091,Lavrica
504092,Lavrica
504081,Lavrica pri Malči
504082,Lavrica pri Malči
204301,Ledena dvorana Zalog
204302,Ledena dvorana Zalog
204011,Leskoškova
204012,Leskoškova
103202,Litostroj
103203,Litostroj
803051,Litostrojska
603091,Livada
603092,Livada
716021,Ljubgojna
716022,Ljubgojna
505152,Ljubljanska
803061,Ljubljanske brigade
803062,Ljubljanske brigade
603251,Log
603252,Log
725081,Log pri Polh.G.
725082,Log pri Polh.G.
501031,Lutkovno gl.
501032,Lutkovno gl.
415061,MALI LIPOGLAV
805023,MEDVODE
805041,MEDVODE naselje
505041,Mali vrh
505042,Mali vrh
103161,Maroltova
103162,Maroltova
804131,Martinova
804132,Martinova
736011,Mačkov graben
736012,Mačkov graben
804071,Medno
804072,Medno
805021,Medvode
805022,Medvode
805052,Medvode na klancu
805011,Medvoška a.p.
